view_count,answer_count,question_count,reputation_change_quarter,reputation,link,display_name,user_id,bronze,silver,gold
4,0,0,0,1,https://stackoverflow.com/users/2812487/user2812487,user2812487,2812487,0,0,0
7,0,8,0,9,https://stackoverflow.com/users/2852988/ljldsakj-akjdlakjfd,Ljldsakj Akjdlakjfd,2852988,1,0,0
13,0,9,0,1,https://stackoverflow.com/users/2889468/shashank,shashank,2889468,4,0,0
2655,107,16,2,1754,https://stackoverflow.com/users/2890048/rajeesh-menoth,Rajeesh Menoth,2890048,35,18,3
269,27,48,10,1367,https://stackoverflow.com/users/2947860/mnie,MNie,2947860,35,16,1
28,0,6,0,55,https://stackoverflow.com/users/2964784/suva,Suva,2964784,9,2,0
14,1,2,0,13,https://stackoverflow.com/users/2975816/praise-god,Praise_God,2975816,5,0,0
28,0,3,0,123,https://stackoverflow.com/users/2980622/user2980622,user2980622,2980622,4,1,0
5,0,2,0,1,https://stackoverflow.com/users/2983000/waleed,waleed,2983000,2,0,0
25,0,7,0,41,https://stackoverflow.com/users/3009966/user3009966,user3009966,3009966,6,1,0
14,0,2,0,11,https://stackoverflow.com/users/3023743/user3023743,user3023743,3023743,5,0,0
8,0,0,0,1,https://stackoverflow.com/users/3100874/user3100874,user3100874,3100874,3,0,0
12,2,2,0,55,https://stackoverflow.com/users/3132939/mark,Mark,3132939,6,1,0
219,80,14,50,4580,https://stackoverflow.com/users/3134834/ahmed-safadi,Ahmed Safadi,3134834,34,40,0
5,0,0,0,1,https://stackoverflow.com/users/3158862/vicky,vicky,3158862,1,0,0
13,5,1,0,21,https://stackoverflow.com/users/3197091/nishant-gupta,Nishant Gupta,3197091,3,0,0
2,0,2,0,1,https://stackoverflow.com/users/3248848/megha,Megha,3248848,1,0,0
33,0,4,0,1,https://stackoverflow.com/users/3254713/master,master,3254713,3,0,0
71,0,7,0,59,https://stackoverflow.com/users/3262662/taeyeon,Taeyeon.,3262662,10,3,1
128,27,30,0,557,https://stackoverflow.com/users/3309424/saheb-singh,Saheb Singh,3309424,18,4,0
8,0,4,0,71,https://stackoverflow.com/users/3331589/user3331589,user3331589,3331589,6,1,1
18,0,13,0,71,https://stackoverflow.com/users/3396612/hussain-ahmad,Hussain Ahmad,3396612,10,1,0
9,1,5,0,67,https://stackoverflow.com/users/3424282/beginner1417,beginner1417,3424282,7,1,0
3,0,1,0,3,https://stackoverflow.com/users/3433446/user3433446,user3433446,3433446,1,0,0
14,0,5,0,9,https://stackoverflow.com/users/3457132/snipex,Snipex,3457132,8,0,0
